"","WBAN","COUNTRY","STATE","LOCATION","LATITUDE","LONGITUDE","ELEVATION"
"1","03047","US","TX","Monahans",31.62,-102.8,"2724"
"2","03048","US","NM","Socorro",34.35,-106.88,"4847"
"3","03054","US","TX","Muleshoe",33.95,-102.77,"3742"
"4","03055","US","OK","Goodwell",36.59,-101.59,"3266"
"5","03060","US","CO","Montrose",38.54,-107.69,"8402"
"6","03061","US","CO","Cortez",37.25,-108.5,"8034"
"7","03062","US","NM","Los Alamos",35.85,-106.52,"8716"
"8","03063","US","CO","La Junta",37.86,-103.82,"4386"
"9","03067","US","KS","Oakley",38.87,-100.96,"2870"
"10","03072","US","TX","Bronte",32.04,-100.24,"1997"
"11","03074","US","NM","Las Cruces",32.61,-106.74,"4327"
"13","03076","US","CO","Grand Junction",39.1,-108.73,"5806"
"14","03077","US","AZ","Holbrook",34.82,-109.89,"5613"
"15","03078","US","CO","Eads",38.54,-102.5,"3967"
"16","03079","US","CO","Saguache",38.09,-106.17,"7823"
"17","03080","US","NM","Reserve",33.71,-108.77,"5842"
"18","03081","US","UT","Tropic",37.51,-111.97,"5895"
"19","03082","US","NM","Carrizozo",33.64,-105.89,"5366"
"20","03083","US","CO","Stratton",39.65,-102.62,"4212"
"21","03084","US","CO","Center A",37.7,-106.14,"7678"
"22","03085","US","AZ","Bowie",32,-109.38,"5133"
"23","03086","US","CO","Springfield",37.38,-102.71,"4557"
"24","03087","US","NM","Santa Fe",35.82,-106.31,"7258"
"25","03088","US","CO","Woodland Park",38.91,-105.26,"8535"
"26","03089","US","CO","Rocky Ford",38.03,-103.69,"4170"
"27","03090","US","NM","Taos",36.65,-105.97,"8151"
"28","03091","US","CO","Kim",37.21,-103.5,"5870"
"29","03092","US","NM","Raton",36.77,-103.98,"7232"
"30","03093","US","CO","Genoa",39.78,-103.51,"4764"
"31","03094","US","NM","Clayton",36.47,-103.12,"4885"
"32","03095","US","NM","Mills",36.06,-104.35,"5866"
"33","03096","US","CO","Rifle",39.76,-108.12,"7550"
"34","03097","US","NM","Mountainair",34.51,-106.27,"6489"
"35","03098","US","CO","Eagle",39.48,-106.73,"8605"
"36","03099","US","CO","Craig",40.94,-107.6,"6518"
"37","03728","US","SC","McClellanville",33.15,-79.36,"9"
"38","03733","US","WV","Elkins",39.01,-79.47,"3390"
"39","03739","US","VA","Cape Charles",37.29,-75.92,"29"
"40","03758","US","NC","Durham",35.97,-79.09,"562"
"41","03759","US","VA","Charlottesville",37.99,-78.46,"1177"
"42","03761","US","PA","Avondale",39.85,-75.78,"400"
"43","04125","US","OR","John Day",44.55,-119.64,"2245"
"44","04126","US","ID","Arco",43.46,-113.55,"5920"
"45","04127","US","ID","Murphy",43.2,-116.75,"3950"
"46","04128","US","OR","Riley",43.47,-119.69,"4583"
"47","04130","US","MT","St. Mary",48.74,-113.43,"4555"
"48","04131","US","WY","Moose",43.66,-110.71,"6466"
"49","04136","US","WA","Spokane",47.41,-117.52,"2267"
"50","04137","US","MT","Dillon",45.15,-113,"5971"
"51","04138","US","UT","Brigham City",41.61,-112.54,"4951"
"52","04139","US","NV","Denio",41.84,-119.63,"6500"
"53","04140","US","MT","Lewistown",46.88,-110.28,"5070"
"54","04141","US","OR","Coos Bay",43.27,-124.31,"12"
"55","04143","US","UT","Provo",40.28,-111.23,"7808"
"56","04222","US","CA","Redding",40.65,-122.6,"1418"
"57","04223","US","WA","Darrington",48.54,-121.44,"407"
"58","04236","US","OR","Corvallis",44.41,-123.32,"312"
"59","04237","US","WA","Quinault",47.51,-123.81,"286"
"60","04990","US","SD","Sioux Falls",43.73,-96.62,"1594"
"61","04994","US","MN","Goodridge",48.3,-95.87,"1150"
"62","12987","US","TX","Edinburg",26.52,-98.06,"64"
"63","13301","US","MO","Chillicothe",39.86,-93.14,"833"
"64","21514","US","HI","Mauna Loa",19.53,-155.57,"11179"
"65","21515","US","HI","Hilo",19.64,-155.08,"622"
"66","22016","US","TX","Panther Junction",29.34,-103.2,"3494"
"67","23801","US","AL","Troy",31.79,-86,"472"
"68","23802","US","AL","Thomasville",31.88,-87.73,"350"
"69","23803","US","MS","Holly Springs",34.82,-89.43,"484"
"70","23904","US","AR","Batesville",35.82,-91.78,"455"
"71","23906","US","TX","Port Aransas",28.3,-96.82,"15"
"72","23907","US","TX","Austin",30.62,-98.08,"1361"
"73","23908","US","MO","Joplin",37.42,-94.58,"952"
